symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-07-02 00:00:00+00:00,187.18,187.3,183.42,183.82,17731343,44.7792470601,44.8079547727,43.8797387315,43.9754311069,70925372,0.0,1.0
AAPL,2018-07-03 00:00:00+00:00,183.92,187.95,183.54,187.79,13954806,43.9993542007,44.9634548827,43.9084464441,44.9251779326,55819224,0.0,1.0
AAPL,2018-07-05 00:00:00+00:00,185.4,186.41,184.28,185.26,16604248,44.3534159896,44.5950392375,44.0854773386,44.3199236583,66416992,0.0,1.0
AAPL,2018-07-06 00:00:00+00:00,187.97,188.43,185.2,185.42,17485245,44.9682395015,45.0782857332,44.305569802,44.3582006084,69940980,0.0,1.0
AAPL,2018-07-09 00:00:00+00:00,190.58,190.68,189.3,189.5,19756634,45.5926322508,45.6165553447,45.2864166496,45.3342628373,79026536,0.0,1.0
AAPL,2018-07-10 00:00:00+00:00,190.35,191.28,190.18,190.71,15939149,45.537609135,45.7600939078,45.4969398755,45.6237322728,63756596,0.0,1.0
AAPL,2018-07-11 00:00:00+00:00,187.88,189.78,187.61,188.5,18831470,44.946708717,45.4012475001,44.8821163636,45.0950318989,75325880,0.0,1.0
AAPL,2018-07-12 00:00:00+00:00,191.03,191.41,189.31,189.53,18041131,45.7002861731,45.7911939298,45.288808959,45.3414397655,72164524,0.0,1.0
AAPL,2018-07-13 00:00:00+00:00,191.33,191.84,190.9,191.08,12519792,45.7720554547,45.8940632333,45.6691861511,45.7122477201,50079168,0.0,1.0
AAPL,2018-07-16 00:00:00+00:00,190.91,192.65,190.42,191.52,15043110,45.6715784605,46.0878402934,45.5543553007,45.817509333,60172440,0.0,1.0
AAPL,2018-07-17 00:00:00+00:00,191.45,191.87,189.2,189.75,15534523,45.8007631673,45.9012401614,45.2624935558,45.3940705719,62138092,0.0,1.0
AAPL,2018-07-18 00:00:00+00:00,190.4,191.8,189.93,191.78,16393381,45.5495706819,45.8844939958,45.4371321408,45.879709377,65573524,0.0,1.0
AAPL,2018-07-19 00:00:00+00:00,191.88,192.55,189.69,189.69,20286752,45.9036324708,46.0639171996,45.3797167156,45.3797167156,81147008,0.0,1.0
AAPL,2018-07-20 00:00:00+00:00,191.44,192.43,190.17,191.78,20706042,45.7983708579,46.035209487,45.4945475661,45.879709377,82824168,0.0,1.0
AAPL,2018-07-23 00:00:00+00:00,191.61,191.96,189.56,190.68,15989365,45.8390401175,45.9227709459,45.3486166936,45.6165553447,63957460,0.0,1.0
AAPL,2018-07-24 00:00:00+00:00,193.0,193.66,192.05,192.45,18697898,46.1715711219,46.3294635413,45.9443017304,46.0399941058,74791592,0.0,1.0
AAPL,2018-07-25 00:00:00+00:00,194.82,194.85,192.43,193.06,16826483,46.6069714299,46.614148358,46.035209487,46.1859249782,67305932,0.0,1.0
AAPL,2018-07-26 00:00:00+00:00,194.21,195.96,193.61,194.61,19075964,46.4610405574,46.8796946997,46.3175019944,46.5567329328,76303856,0.0,1.0
AAPL,2018-07-27 00:00:00+00:00,190.98,195.19,190.1,194.99,24023972,45.6883246262,46.6954868771,45.4778014004,46.6476406894,96095888,0.0,1.0
AAPL,2018-07-30 00:00:00+00:00,189.91,192.2,189.07,191.9,21029535,45.4323475221,45.9801863711,45.2313935338,45.9084170896,84118140,0.0,1.0
AAPL,2018-07-31 00:00:00+00:00,190.29,192.14,189.34,190.3,39373038,45.5232552787,45.9658325148,45.2959858872,45.5256475881,157492152,0.0,1.0
AAPL,2018-08-01 00:00:00+00:00,201.5,201.76,197.31,199.13,67935716,48.2050340988,48.2672341428,47.2026564666,47.6380567746,271742864,0.0,1.0
AAPL,2018-08-02 00:00:00+00:00,207.39,208.38,200.35,200.58,62404012,49.6141043263,49.8509429553,47.9299185196,47.9849416354,249616048,0.0,1.0
AAPL,2018-08-03 00:00:00+00:00,207.99,208.74,205.48,207.03,33447396,49.7576428894,49.9370660932,49.1571732338,49.5279811884,133789584,0.0,1.0
AAPL,2018-08-06 00:00:00+00:00,209.07,209.25,207.07,208.0,25425387,50.0160123029,50.0590738718,49.537550426,49.7600351987,101701548,0.0,1.0
AAPL,2018-08-07 00:00:00+00:00,207.11,209.5,206.76,209.32,25587387,49.5471196635,50.1188816064,49.4633888351,50.0758200375,102349548,0.0,1.0
AAPL,2018-08-08 00:00:00+00:00,207.25,207.81,204.52,206.05,22525487,49.5806119949,49.7145813204,48.9275115329,49.2935348687,90101948,0.0,1.0
